driver_id,pool_location,driver_rating
DRV-BB-00121,Pool Mampang,4.93
DRV-BB-00122,Pool Kramat Jati,4.98
DRV-BB-00123,Pool Halim,4.65
DRV-BB-00124,Pool Kramat Jati,4.65
DRV-BB-00125,Pool BSD,4.98
DRV-BB-00126,Pool Kelapa Gading,4.68
DRV-BB-00127,Pool Ciputat,4.87
DRV-BB-00128,Pool Mampang,4.95
DRV-BB-00129,Pool Ciputat,4.77
DRV-BB-00130,Pool Ciputat,4.96
DRV-BB-00131,Pool Ciputat,4.96
DRV-BB-00132,Pool Halim,4.66
DRV-BB-00133,Pool Mampang,4.91
DRV-BB-00134,Pool Halim,4.62
DRV-BB-00135,Pool BSD,4.63
DRV-BB-00136,Pool Mampang,4.75
DRV-BB-00137,Pool Puri,4.9
DRV-BB-00138,Pool Halim,4.98
DRV-BB-00139,Pool BSD,4.73
DRV-BB-00140,Pool Puri,4.69
DRV-BB-00141,Pool Kramat Jati,4.9
DRV-BB-00142,Pool Kelapa Gading,4.79
DRV-BB-00143,Pool Kelapa Gading,4.77
DRV-BB-00144,Pool Kelapa Gading,4.9
DRV-BB-00145,Pool Kelapa Gading,4.9
DRV-BB-00146,Pool Halim,4.97
DRV-BB-00147,Pool Mampang,4.75
DRV-BB-00148,Pool Mampang,5.0
DRV-BB-00149,Pool Kramat Jati,4.76
DRV-BB-00150,Pool Puri,4.78
DRV-BB-00151,Pool Halim,4.94
DRV-BB-00152,Pool Ciputat,4.73
DRV-BB-00153,Pool Halim,4.9
DRV-BB-00154,Pool Kramat Jati,4.92
DRV-BB-00155,Pool Mampang,4.82
DRV-BB-00156,Pool Kelapa Gading,4.77
DRV-BB-00157,Pool Kelapa Gading,4.61
DRV-BB-00158,Pool Kelapa Gading,4.69
DRV-BB-00159,Pool BSD,4.9
DRV-BB-00160,Pool Halim,4.75
DRV-BB-00161,Pool Kramat Jati,4.92
DRV-BB-00162,Pool Puri,4.65
DRV-BB-00163,Pool Kramat Jati,4.91
DRV-BB-00164,Pool Kramat Jati,4.74
DRV-BB-00165,Pool Kramat Jati,4.85
DRV-BB-00166,Pool Ciputat,4.73
DRV-BB-00167,Pool Halim,4.93
DRV-BB-00168,Pool Halim,4.91
DRV-BB-00169,Pool Kelapa Gading,4.97
DRV-BB-00170,Pool Halim,4.8
DRV-BB-00171,Pool Puri,4.62
DRV-BB-00172,Pool Kramat Jati,4.88
DRV-BB-00173,Pool BSD,4.87
DRV-BB-00174,Pool Kramat Jati,4.8
DRV-BB-00175,Pool Kramat Jati,4.65
DRV-BB-00176,Pool Ciputat,4.75
DRV-BB-00177,Pool Puri,4.96
DRV-BB-00178,Pool Halim,4.87
DRV-BB-00179,Pool Halim,4.7
DRV-BB-00180,Pool BSD,4.77
DRV-BB-00181,Pool BSD,4.73
DRV-BB-00182,Pool Ciputat,4.64
DRV-BB-00183,Pool Kramat Jati,4.7
DRV-BB-00184,Pool BSD,4.8
DRV-BB-00185,Pool Kramat Jati,4.7
DRV-BB-00186,Pool Kramat Jati,4.77
DRV-BB-00187,Pool Puri,4.65
DRV-BB-00188,Pool Puri,4.98
DRV-BB-00189,Pool Halim,4.96
DRV-BB-00190,Pool Kramat Jati,4.68
DRV-BB-00191,Pool Kramat Jati,4.81
DRV-BB-00192,Pool Mampang,4.83
DRV-BB-00193,Pool Puri,4.99
DRV-BB-00194,Pool Halim,4.8
DRV-BB-00195,Pool Kelapa Gading,4.92
DRV-BB-00196,Pool Puri,4.64
DRV-BB-00197,Pool Halim,4.77
DRV-BB-00198,Pool Kramat Jati,4.82
DRV-BB-00199,Pool Puri,4.74
DRV-BB-00200,Pool Puri,4.96
DRV-BB-00201,Pool Mampang,4.61
DRV-BB-00202,Pool Ciputat,4.92
DRV-BB-00203,Pool Kelapa Gading,4.91
DRV-BB-00204,Pool Mampang,4.91
DRV-BB-00205,Pool Ciputat,4.89
DRV-BB-00206,Pool Puri,4.99
DRV-BB-00207,Pool Kramat Jati,4.75
DRV-BB-00208,Pool Puri,4.8
DRV-BB-00209,Pool Ciputat,4.6
DRV-BB-00210,Pool Halim,4.9
DRV-BB-00211,Pool BSD,4.74
DRV-BB-00212,Pool BSD,4.75
DRV-BB-00213,Pool Kramat Jati,4.94
DRV-BB-00214,Pool BSD,4.78
DRV-BB-00215,Pool Ciputat,4.89
DRV-BB-00216,Pool BSD,4.88
DRV-BB-00217,Pool Kramat Jati,4.64
DRV-BB-00218,Pool Kramat Jati,4.98
DRV-BB-00219,Pool Halim,4.73
DRV-BB-00220,Pool Ciputat,4.81
DRV-BB-00221,Pool Halim,4.61
DRV-BB-00222,Pool Kramat Jati,4.7
DRV-BB-00223,Pool Kelapa Gading,4.93
DRV-BB-00224,Pool Ciputat,4.77
DRV-BB-00225,Pool Kramat Jati,4.68
DRV-BB-00226,Pool Puri,4.85
DRV-BB-00227,Pool Mampang,4.73
DRV-BB-00228,Pool Halim,4.85
DRV-BB-00229,Pool Kramat Jati,4.63
DRV-BB-00230,Pool Ciputat,4.87
DRV-BB-00231,Pool Mampang,4.95
DRV-BB-00232,Pool Ciputat,4.95
DRV-BB-00233,Pool Halim,4.95
DRV-BB-00234,Pool Ciputat,4.97
DRV-BB-00235,Pool Kramat Jati,4.75
DRV-BB-00236,Pool Puri,4.65
DRV-BB-00237,Pool Puri,4.97
DRV-BB-00238,Pool Ciputat,4.91
DRV-BB-00239,Pool Mampang,5.0
DRV-BB-00240,Pool Mampang,4.91
DRV-BB-00241,Pool Mampang,4.78
DRV-BB-00242,Pool Kelapa Gading,4.98
DRV-BB-00243,Pool Puri,4.94
DRV-BB-00244,Pool Ciputat,4.77
DRV-BB-00245,Pool Kramat Jati,4.83
DRV-BB-00246,Pool Kramat Jati,4.98
DRV-BB-00247,Pool Kelapa Gading,4.69
DRV-BB-00248,Pool BSD,4.79
DRV-BB-00249,Pool Halim,4.83
DRV-BB-00250,Pool Kramat Jati,4.62
DRV-BB-00251,Pool BSD,4.62
DRV-BB-00252,Pool BSD,4.67
DRV-BB-00253,Pool BSD,4.69
DRV-BB-00254,Pool BSD,4.64
DRV-BB-00255,Pool Mampang,4.92
DRV-BB-00256,Pool BSD,4.79
DRV-BB-00257,Pool Kelapa Gading,4.88
DRV-BB-00258,Pool BSD,4.93
DRV-BB-00259,Pool Puri,5.0
DRV-BB-00260,Pool Kelapa Gading,4.8
DRV-BB-00261,Pool BSD,4.83
DRV-BB-00262,Pool Puri,4.97
DRV-BB-00263,Pool Puri,4.9
DRV-BB-00264,Pool Kramat Jati,4.78
DRV-BB-00265,Pool Mampang,4.78
DRV-BB-00266,Pool Mampang,5.0
DRV-BB-00267,Pool Kramat Jati,4.94
DRV-BB-00268,Pool Kramat Jati,4.69
DRV-BB-00269,Pool Kelapa Gading,4.95
DRV-BB-00270,Pool Puri,4.86
DRV-BB-00271,Pool Kelapa Gading,4.83
DRV-BB-00272,Pool Kramat Jati,4.8
DRV-BB-00273,Pool Kramat Jati,4.76
DRV-BB-00274,Pool BSD,4.8
DRV-BB-00275,Pool Halim,4.95
DRV-BB-00276,Pool Halim,4.63
DRV-BB-00277,Pool Kramat Jati,4.77
DRV-BB-00278,Pool Halim,4.7
DRV-BB-00279,Pool Ciputat,4.72
DRV-BB-00280,Pool Halim,4.82
DRV-BB-00281,Pool Kelapa Gading,4.62
DRV-BB-00282,Pool Kelapa Gading,4.99
DRV-BB-00283,Pool BSD,4.83
DRV-BB-00284,Pool Halim,4.74
DRV-BB-00285,Pool Halim,4.89
DRV-BB-00286,Pool Halim,4.83
DRV-BB-00287,Pool Halim,4.75
DRV-BB-00288,Pool Kelapa Gading,4.82
DRV-BB-00289,Pool Ciputat,4.89
DRV-BB-00290,Pool Kelapa Gading,4.65
DRV-BB-00291,Pool Ciputat,4.8
DRV-BB-00292,Pool BSD,4.94
DRV-BB-00293,Pool Halim,4.91
DRV-BB-00294,Pool Halim,4.8
DRV-BB-00295,Pool Mampang,4.76
DRV-BB-00296,Pool Halim,4.74
DRV-BB-00297,Pool Mampang,4.7
DRV-BB-00298,Pool Kramat Jati,4.95
DRV-BB-00299,Pool BSD,4.73
DRV-BB-00300,Pool Kramat Jati,4.99
DRV-BB-00301,Pool Kramat Jati,4.92
DRV-BB-00302,Pool Mampang,4.66
DRV-BB-00303,Pool Halim,4.7
DRV-BB-00304,Pool BSD,4.95
DRV-BB-00305,Pool Halim,4.88
DRV-BB-00306,Pool Kelapa Gading,4.88
DRV-BB-00307,Pool BSD,4.69
DRV-BB-00308,Pool Kelapa Gading,4.86
DRV-BB-00309,Pool Halim,4.81
DRV-BB-00310,Pool Mampang,4.93
DRV-BB-00311,Pool Puri,4.77
DRV-BB-00312,Pool Halim,4.6
DRV-BB-00313,Pool Halim,4.81
DRV-BB-00314,Pool Halim,4.85
DRV-BB-00315,Pool Mampang,4.79
DRV-BB-00316,Pool BSD,4.71
DRV-BB-00317,Pool Puri,4.76
DRV-BB-00318,Pool Kramat Jati,4.92
DRV-BB-00319,Pool BSD,4.83
DRV-BB-00320,Pool Kelapa Gading,4.91
DRV-BB-00321,Pool Ciputat,4.72
DRV-BB-00322,Pool Mampang,4.91
DRV-BB-00323,Pool Ciputat,4.95
DRV-BB-00324,Pool Kelapa Gading,4.62
DRV-BB-00325,Pool Kelapa Gading,4.86
DRV-BB-00326,Pool Puri,4.8
DRV-BB-00327,Pool Kelapa Gading,5.0
DRV-BB-00328,Pool Mampang,4.9
DRV-BB-00329,Pool Ciputat,4.66
DRV-BB-00330,Pool Kelapa Gading,4.69
DRV-BB-00331,Pool Kelapa Gading,4.68
DRV-BB-00332,Pool Kelapa Gading,4.83
DRV-BB-00333,Pool Puri,4.98
DRV-BB-00334,Pool Kramat Jati,4.71
DRV-BB-00335,Pool BSD,4.94
DRV-BB-00336,Pool Mampang,4.82
DRV-BB-00337,Pool Mampang,4.78
DRV-BB-00338,Pool BSD,4.91
DRV-BB-00339,Pool Halim,4.85
DRV-BB-00340,Pool Halim,4.94
DRV-BB-00341,Pool Halim,4.82
DRV-BB-00342,Pool Halim,4.75
DRV-BB-00343,Pool Kelapa Gading,4.84
DRV-BB-00344,Pool Kramat Jati,4.69
DRV-BB-00345,Pool Halim,4.91
DRV-BB-00346,Pool Mampang,4.97
DRV-BB-00347,Pool Puri,4.66
DRV-BB-00348,Pool Puri,4.88
DRV-BB-00349,Pool Halim,4.99
DRV-BB-00350,Pool Mampang,4.8
DRV-BB-00351,Pool Puri,4.71
DRV-BB-00352,Pool Ciputat,4.61
DRV-BB-00353,Pool Kramat Jati,4.94
DRV-BB-00354,Pool Ciputat,4.65
DRV-BB-00355,Pool BSD,4.73
DRV-BB-00356,Pool Kelapa Gading,4.86
DRV-BB-00357,Pool Halim,4.87
DRV-BB-00358,Pool Kramat Jati,4.71
DRV-BB-00359,Pool Halim,4.93
DRV-BB-00360,Pool Puri,4.61
DRV-BB-00361,Pool Ciputat,4.65
DRV-BB-00362,Pool Halim,4.62
DRV-BB-00363,Pool Mampang,4.71
DRV-BB-00364,Pool Kramat Jati,4.8
DRV-BB-00365,Pool Ciputat,4.61
DRV-BB-00366,Pool Kramat Jati,4.83
DRV-BB-00367,Pool Ciputat,4.73
DRV-BB-00368,Pool Puri,4.69
DRV-BB-00369,Pool Puri,4.71
DRV-BB-00370,Pool Ciputat,4.8
DRV-BB-00371,Pool BSD,4.66
DRV-BB-00372,Pool Ciputat,4.85
DRV-BB-00373,Pool Halim,4.69
DRV-BB-00374,Pool Ciputat,4.68
DRV-BB-00375,Pool BSD,4.76
DRV-BB-00376,Pool BSD,4.61
DRV-BB-00377,Pool Halim,4.61
DRV-BB-00378,Pool Kramat Jati,4.72
DRV-BB-00379,Pool Kelapa Gading,4.9
DRV-BB-00380,Pool BSD,4.74
DRV-BB-00381,Pool Kelapa Gading,4.65
DRV-BB-00382,Pool Ciputat,4.66
DRV-BB-00383,Pool Halim,4.74
DRV-BB-00384,Pool Mampang,4.82
DRV-BB-00385,Pool Puri,4.78
DRV-BB-00386,Pool Puri,4.83
DRV-BB-00387,Pool Ciputat,4.67
DRV-BB-00388,Pool BSD,4.64
DRV-BB-00389,Pool Puri,4.74
DRV-BB-00390,Pool Kramat Jati,4.82
DRV-BB-00391,Pool Mampang,4.75
DRV-BB-00392,Pool Puri,4.8
DRV-BB-00393,Pool Halim,4.88
DRV-BB-00394,Pool Kramat Jati,4.92
DRV-BB-00395,Pool Halim,4.78
DRV-BB-00396,Pool BSD,4.99
DRV-BB-00397,Pool Kramat Jati,4.63
DRV-BB-00398,Pool Puri,4.9
DRV-BB-00399,Pool BSD,4.74
DRV-BB-00400,Pool BSD,4.68
DRV-BB-00401,Pool Kelapa Gading,4.71
DRV-BB-00402,Pool Kramat Jati,4.6
DRV-BB-00403,Pool BSD,4.61
DRV-BB-00404,Pool BSD,4.63
DRV-BB-00405,Pool Kramat Jati,4.87
DRV-BB-00406,Pool Ciputat,4.81
DRV-BB-00407,Pool Mampang,4.64
DRV-BB-00408,Pool Ciputat,4.97
DRV-BB-00409,Pool Puri,4.61
DRV-BB-00410,Pool Kramat Jati,4.89
DRV-BB-00411,Pool Ciputat,4.66
DRV-BB-00412,Pool Kramat Jati,4.87
DRV-BB-00413,Pool Ciputat,4.96
DRV-BB-00414,Pool BSD,4.89
DRV-BB-00415,Pool Kramat Jati,4.86
DRV-BB-00416,Pool Kelapa Gading,4.97
DRV-BB-00417,Pool Kelapa Gading,4.67
DRV-BB-00418,Pool Kramat Jati,4.65
DRV-BB-00419,Pool Mampang,4.68
DRV-BB-00420,Pool Halim,4.76
DRV-BB-00421,Pool Mampang,4.64
DRV-BB-00422,Pool Kramat Jati,4.86
DRV-BB-00423,Pool Kelapa Gading,4.76
DRV-BB-00424,Pool BSD,4.67
DRV-BB-00425,Pool Kramat Jati,4.64
DRV-BB-00426,Pool Mampang,4.7
DRV-BB-00427,Pool Halim,4.71
DRV-BB-00428,Pool BSD,4.79
DRV-BB-00429,Pool Mampang,4.63
DRV-BB-00430,Pool BSD,4.78
DRV-BB-00431,Pool Halim,4.89
DRV-BB-00432,Pool Mampang,5.0
DRV-BB-00433,Pool Halim,4.98
DRV-BB-00434,Pool Kramat Jati,4.66
DRV-BB-00435,Pool Halim,4.65
DRV-BB-00436,Pool Mampang,4.65
DRV-BB-00437,Pool BSD,4.79
DRV-BB-00438,Pool Puri,4.94
DRV-BB-00439,Pool Kramat Jati,4.85
DRV-BB-00440,Pool Halim,4.71
DRV-BB-00441,Pool Ciputat,4.96
DRV-BB-00442,Pool Kramat Jati,4.95
DRV-BB-00443,Pool Halim,4.99
DRV-BB-00444,Pool BSD,4.62
DRV-BB-00445,Pool Ciputat,4.67
DRV-BB-00446,Pool Kramat Jati,4.61
DRV-BB-00447,Pool Mampang,4.92
DRV-BB-00448,Pool Mampang,5.0
DRV-BB-00449,Pool Ciputat,4.77
DRV-BB-00450,Pool Puri,4.78
DRV-BB-00451,Pool Halim,4.94
DRV-BB-00452,Pool Halim,4.74
DRV-BB-00453,Pool BSD,4.61
DRV-BB-00454,Pool Mampang,4.73
DRV-BB-00455,Pool Kramat Jati,4.67
DRV-BB-00456,Pool Halim,4.95
DRV-BB-00457,Pool Halim,4.98
DRV-BB-00458,Pool Kramat Jati,4.67
DRV-BB-00459,Pool Ciputat,4.95
DRV-BB-00460,Pool Ciputat,4.61
DRV-BB-00461,Pool Mampang,4.88
DRV-BB-00462,Pool Mampang,4.88
DRV-BB-00463,Pool BSD,4.7
DRV-BB-00464,Pool Ciputat,4.96
DRV-BB-00465,Pool Kramat Jati,4.61
DRV-BB-00466,Pool BSD,4.88
DRV-BB-00467,Pool Puri,4.63
DRV-BB-00468,Pool Halim,4.96
DRV-BB-00469,Pool Mampang,4.93
DRV-BB-00470,Pool Mampang,4.9
DRV-BB-00471,Pool Kelapa Gading,4.66
DRV-BB-00472,Pool Puri,4.7
DRV-BB-00473,Pool Kelapa Gading,4.64
DRV-BB-00474,Pool Puri,4.73
DRV-BB-00475,Pool Ciputat,4.99
DRV-BB-00476,Pool BSD,4.93
DRV-BB-00477,Pool Puri,4.76
DRV-BB-00478,Pool Kramat Jati,4.7
DRV-BB-00479,Pool Mampang,4.88
DRV-BB-00480,Pool Mampang,4.73
DRV-BB-00481,Pool Kelapa Gading,4.72
DRV-BB-00482,Pool Halim,4.96
DRV-BB-00483,Pool Mampang,4.75
DRV-BB-00484,Pool Ciputat,4.96
DRV-BB-00485,Pool Kramat Jati,4.81
DRV-BB-00486,Pool Kramat Jati,4.71
DRV-BB-00487,Pool Halim,4.9
DRV-BB-00488,Pool Puri,4.81
DRV-BB-00489,Pool Kelapa Gading,4.8
DRV-BB-00490,Pool Halim,4.93
DRV-BB-00491,Pool Puri,4.69
DRV-BB-00492,Pool Puri,4.96
DRV-BB-00493,Pool Puri,4.83
DRV-BB-00494,Pool Kelapa Gading,4.65
DRV-BB-00495,Pool Kelapa Gading,4.7
DRV-BB-00496,Pool Kelapa Gading,4.73
DRV-BB-00497,Pool BSD,4.97
DRV-BB-00498,Pool Puri,4.94
DRV-BB-00499,Pool Ciputat,4.91
DRV-BB-00500,Pool Mampang,4.8
DRV-BB-00501,Pool Puri,4.76
DRV-BB-00502,Pool Ciputat,4.62
DRV-BB-00503,Pool Ciputat,4.76
DRV-BB-00504,Pool Puri,4.95
DRV-BB-00505,Pool Ciputat,4.84
DRV-BB-00506,Pool Kramat Jati,4.94
DRV-BB-00507,Pool Puri,4.62
DRV-BB-00508,Pool Mampang,4.87
DRV-BB-00509,Pool Kelapa Gading,4.72
DRV-BB-00510,Pool BSD,4.85
DRV-BB-00511,Pool Kramat Jati,4.8
DRV-BB-00512,Pool Puri,4.64
DRV-BB-00513,Pool Ciputat,4.76
DRV-BB-00514,Pool Puri,4.6
DRV-BB-00515,Pool Halim,4.77
DRV-BB-00516,Pool BSD,4.96
DRV-BB-00517,Pool Halim,4.94
DRV-BB-00518,Pool Kelapa Gading,4.9
DRV-BB-00519,Pool Kelapa Gading,4.75
DRV-BB-00520,Pool BSD,4.87
DRV-BB-00521,Pool Kramat Jati,4.81
DRV-BB-00522,Pool Kramat Jati,4.98
DRV-BB-00523,Pool Kramat Jati,4.98
DRV-BB-00524,Pool Halim,4.99
DRV-BB-00525,Pool BSD,4.62
DRV-BB-00526,Pool Ciputat,4.76
DRV-BB-00527,Pool Halim,4.69
DRV-BB-00528,Pool Mampang,4.69
DRV-BB-00529,Pool Ciputat,4.8
DRV-BB-00530,Pool Mampang,4.97
DRV-BB-00531,Pool Kramat Jati,4.81
DRV-BB-00532,Pool Ciputat,4.99
DRV-BB-00533,Pool Puri,4.68
DRV-BB-00534,Pool BSD,4.89
DRV-BB-00535,Pool BSD,4.61
DRV-BB-00536,Pool Mampang,4.86
DRV-BB-00537,Pool Halim,4.94
DRV-BB-00538,Pool Halim,4.94
DRV-BB-00539,Pool Kramat Jati,4.93
DRV-BB-00540,Pool Ciputat,4.73
DRV-BB-00541,Pool Kramat Jati,4.68
DRV-BB-00542,Pool BSD,4.8
DRV-BB-00543,Pool Halim,4.89
DRV-BB-00544,Pool Puri,4.96
DRV-BB-00545,Pool Kramat Jati,4.93
DRV-BB-00546,Pool BSD,5.0
DRV-BB-00547,Pool Puri,4.84
DRV-BB-00548,Pool Kelapa Gading,4.68
DRV-BB-00549,Pool Puri,4.83
DRV-BB-00550,Pool Mampang,4.86
DRV-BB-00551,Pool Halim,4.83
DRV-BB-00552,Pool Kramat Jati,4.78
DRV-BB-00553,Pool BSD,4.7
DRV-BB-00554,Pool Ciputat,4.99
DRV-BB-00555,Pool BSD,4.87
DRV-BB-00556,Pool Ciputat,4.77
DRV-BB-00557,Pool BSD,4.79
DRV-BB-00558,Pool Kelapa Gading,4.78
DRV-BB-00559,Pool Halim,4.81
DRV-BB-00560,Pool Halim,4.66
DRV-BB-00561,Pool Puri,4.77
DRV-BB-00562,Pool Kramat Jati,4.61
DRV-BB-00563,Pool BSD,4.94
DRV-BB-00564,Pool BSD,4.96
DRV-BB-00565,Pool Kramat Jati,4.62
DRV-BB-00566,Pool BSD,4.74
DRV-BB-00567,Pool Kelapa Gading,4.74
DRV-BB-00568,Pool Mampang,4.84
DRV-BB-00569,Pool Mampang,4.84
DRV-BB-00570,Pool Ciputat,4.75
DRV-BB-00571,Pool Puri,4.66
DRV-BB-00572,Pool Ciputat,4.78
DRV-BB-00573,Pool Puri,4.64
DRV-BB-00574,Pool Halim,4.82
DRV-BB-00575,Pool Ciputat,4.86
DRV-BB-00576,Pool Puri,4.68
DRV-BB-00577,Pool Mampang,4.77
DRV-BB-00578,Pool Kramat Jati,4.6
DRV-BB-00579,Pool Puri,4.64
DRV-BB-00580,Pool Halim,4.65
DRV-BB-00581,Pool Mampang,4.75
DRV-BB-00582,Pool Kramat Jati,4.94
DRV-BB-00583,Pool Ciputat,4.92
DRV-BB-00584,Pool Kramat Jati,4.83
DRV-BB-00585,Pool Kelapa Gading,4.98
DRV-BB-00586,Pool Ciputat,4.67
DRV-BB-00587,Pool Halim,4.82
DRV-BB-00588,Pool Mampang,4.99
DRV-BB-00589,Pool Kramat Jati,4.72
DRV-BB-00590,Pool Ciputat,4.91
DRV-BB-00591,Pool Mampang,4.68
DRV-BB-00592,Pool BSD,4.87
DRV-BB-00593,Pool Ciputat,4.68
DRV-BB-00594,Pool Kramat Jati,4.61
DRV-BB-00595,Pool Puri,4.8
DRV-BB-00596,Pool BSD,4.7
DRV-BB-00597,Pool Mampang,4.81
DRV-BB-00598,Pool Halim,4.91
DRV-BB-00599,Pool Puri,4.66
DRV-BB-00600,Pool Puri,4.96
DRV-BB-00601,Pool Kramat Jati,4.74
DRV-BB-00602,Pool Ciputat,4.92
DRV-BB-00603,Pool Kelapa Gading,4.87
DRV-BB-00604,Pool Halim,4.95
DRV-BB-00605,Pool Halim,4.84
DRV-BB-00606,Pool Puri,4.89
DRV-BB-00607,Pool Puri,4.95
DRV-BB-00608,Pool Halim,4.69
DRV-BB-00609,Pool Mampang,4.91
DRV-BB-00610,Pool Puri,4.91
DRV-BB-00611,Pool Halim,4.67
DRV-BB-00612,Pool Mampang,5.0
DRV-BB-00613,Pool Ciputat,4.81
